棋戦,期,年度,優勝者,勝,敗,準優勝
銀河戦,33,2025,,,,
銀河戦,32,2024,丸山忠久,1,0,藤井聡太
銀河戦,31,2023,丸山忠久,1,0,藤井聡太
銀河戦,30,2022,藤井聡太,1,0,高見泰地
銀河戦,29,2021,菅井竜也,1,0,渡辺明
銀河戦,28,2020,藤井聡太,1,0,糸谷哲郎
銀河戦,27,2019,豊島将之,1,0,渡辺明
銀河戦,26,2018,佐藤天彦,1,0,行方尚史
銀河戦,25,2017,久保利明,1,0,羽生善治
銀河戦,24,2016,藤井猛,1,0,広瀬章人
銀河戦,23,2015,深浦康市,1,0,佐藤天彦
銀河戦,22,2014,渡辺明,1,0,松尾歩
銀河戦,21,2013,稲葉陽,1,0,橋本崇載
銀河戦,20,2012,羽生善治,1,0,阿久津主税
銀河戦,19,2011,渡辺明,1,0,糸谷哲郎
銀河戦,18,2010,佐藤康光,1,0,丸山忠久
銀河戦,17,2009,阿久津主税,1,0,深浦康市
銀河戦,16,2008,佐藤康光,1,0,三浦弘行
銀河戦,15,2007,渡辺明,1,0,森内俊之
銀河戦,14,2006,羽生善治,1,0,小林裕士
銀河戦,13,2005,渡辺明,1,0,森内俊之
銀河戦,12,2004,羽生善治,1,0,谷川浩司
銀河戦,11,2003,佐藤康光,1,0,中川大輔
銀河戦,10,2002,谷川浩司,1,0,羽生善治
銀河戦,9,2001,羽生善治,1,0,深浦康市
銀河戦,8,2000,羽生善治,1,0,堀口一史座
銀河戦,7,1999,郷田真隆,1,0,谷川浩司
銀河戦,6,1998,羽生善治,1,0,佐藤康光
銀河戦,5,1997,羽生善治,1,0,福崎文吾
銀河戦,4,1996,森内俊之,1,0,田中寅彦
銀河戦,3,1994,田中寅彦,1,0,川上猛
銀河戦,2,1993,森内俊之,1,0,南芳一
銀河戦,1,1992,郷田真隆,1,0,森下卓