棋戦,回,年度,優勝者,勝,敗,準優勝
JT杯,46,2025,藤井聡太,1,0,永瀬拓矢
JT杯,45,2024,渡辺明,1,0,広瀬章人
JT杯,44,2023,藤井聡太,1,0,糸谷哲郎
JT杯,43,2022,藤井聡太,1,0,斎藤慎太郎
JT杯,42,2021,豊島将之,1,0,藤井聡太
JT杯,41,2020,豊島将之,1,0,永瀬拓矢
JT杯,40,2019,渡辺明,1,0,広瀬章人
JT杯,39,2018,渡辺明,1,0,菅井竜也
JT杯,38,2017,山崎隆之,1,0,豊島将之
JT杯,37,2016,豊島将之,1,0,佐藤天彦
JT杯,36,2015,三浦弘行,1,0,深浦康市
JT杯,35,2014,渡辺明,1,0,羽生善治
JT杯,34,2013,久保利明,1,0,羽生善治
JT杯,33,2012,久保利明,1,0,羽生善治
JT杯,32,2011,羽生善治,1,0,渡辺明
JT杯,31,2010,羽生善治,1,0,山崎隆之
JT杯,30,2009,谷川浩司,1,0,深浦康市
JT杯,29,2008,森下卓,1,0,深浦康市
JT杯,28,2007,森下卓,1,0,森内俊之
JT杯,27,2006,佐藤康光,1,0,郷田真隆
JT杯,26,2005,藤井猛,1,0,郷田真隆
JT杯,25,2004,佐藤康光,1,0,久保利明
JT杯,24,2003,羽生善治,1,0,久保利明
JT杯,23,2002,藤井猛,1,0,丸山忠久
JT杯,22,2001,丸山忠久,1,0,羽生善治
JT杯,21,2000,森内俊之,1,0,谷川浩司
JT杯,20,1999,丸山忠久,1,0,羽生善治
JT杯,19,1998,羽生善治,1,0,佐藤康光
JT杯,18,1997,谷川浩司,1,0,森内俊之
JT杯,17,1996,谷川浩司,1,0,村山聖
JT杯,16,1995,郷田真隆,1,0,米長邦雄
JT杯,15,1994,郷田真隆,1,0,米長邦雄
JT杯,14,1993,郷田真隆,1,0,谷川浩司
JT杯,13,1992,谷川浩司,1,0,南芳一
JT杯,12,1991,羽生善治,1,0,有吉道夫
JT杯,11,1990,谷川浩司,1,0,中原誠
JT杯,10,1989,谷川浩司,1,0,島朗
JT杯,9,1988,高橋道雄,1,0,加藤一二三
JT杯,8,1987,加藤一二三,1,0,大山康晴
JT杯,7,1986,米長邦雄,1,0,谷川浩司
JT杯,6,1985,森安秀光,1,0,谷川浩司
JT杯,5,1984,米長邦雄,1,0,谷川浩司
JT杯,4,1983,加藤一二三,1,0,米長邦雄
JT杯,3,1982,大山康晴,1,0,中原誠
JT杯,2,1981,中原誠,1,0,大山康晴
JT杯,1,1980,米長邦雄,1,0,加藤一二三